file,predictor,prediction_type,execution_time,num_executions,initial_predictions_indexes,refined_predictions_indexes,guide_attempt,guided_predictions_indexes,covered_lines,num_covered_lines,total_lines,coverage_percentage,minimal_predictions_set,minimal_predictions_set_size,max_coverage_prediction,max_coverage_prediction_value,avg_exec_time
./popular_projects_snippets_dataset/black/bodies/body_70.py,GPTValuePredictor,initial,21.10293745994568,10,[],{},0,{},"{16163, 16164, 16150, 16151, 16152, 16153, 16154, 16155, 16156, 16157, 16158, 16159}",12,15,0.8,"['body_70_initial_0', 'body_70_initial_2']",2,body_70_initial_0,0.5333333333333333,2.110293745994568
./popular_projects_snippets_dataset/black/bodies/body_70.py,GPTValuePredictor,refine,68.13987946510315,25,[],"{0: [], 1: [], 2: []}",0,{},"{16160, 16161, 16162, 16163, 16164, 16150, 16151, 16152, 16153, 16154, 16155, 16156, 16157, 16158, 16159}",15,15,1.0,"['body_70_initial_0', 'body_70_initial_2', 'body_70_refine_2_4']",3,body_70_refine_2_4,0.6666666666666666,2.725595178604126
./popular_projects_snippets_dataset/black/bodies/body_70.py,GPTValuePredictor,guide,0.00025391578674316406,0,[],"{0: [], 1: [], 2: []}",0,{},"{16160, 16161, 16162, 16163, 16164, 16150, 16151, 16152, 16153, 16154, 16155, 16156, 16157, 16158, 16159}",15,15,1.0,"['body_70_initial_0', 'body_70_initial_2', 'body_70_refine_2_4']",3,body_70_refine_2_4,0.6666666666666666,0.0
