file,predictor,prediction_type,execution_time,num_executions,initial_predictions_indexes,refined_predictions_indexes,guide_attempt,guided_predictions_indexes,covered_lines,num_covered_lines,total_lines,coverage_percentage,minimal_predictions_set,minimal_predictions_set_size,max_coverage_prediction,max_coverage_prediction_value,avg_exec_time
./popular_projects_snippets_dataset/black/bodies/body_43.py,GPTValuePredictor,initial,37.26504039764404,10,"[2, 9]",{},0,{},"{17448, 17473, 17472, 17471}",4,31,0.1290322580645161,"['body_43_initial_2', 'body_43_initial_9']",2,body_43_initial_9,0.1290322580645161,3.726504039764405
./popular_projects_snippets_dataset/black/bodies/body_43.py,GPTValuePredictor,refine,241.3182442188263,80,"[2, 9]","{0: [], 1: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [7]}",0,{},"{17448, 17473, 17472, 17471}",4,31,0.1290322580645161,"['body_43_initial_2', 'body_43_initial_9']",2,body_43_initial_9,0.1290322580645161,3.0164780527353288
./popular_projects_snippets_dataset/black/bodies/body_43.py,GPTValuePredictor,guide,728.3614504337311,100,"[2, 9]","{0: [], 1: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [7]}",10,"{0: [5, 7, 8], 1: [4], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}","{17472, 17473, 17444, 17445, 17446, 17447, 17448, 17471}",8,31,0.25806451612903225,"['body_43_initial_2', 'body_43_initial_9', 'body_43_guide_0_5', 'body_43_guide_0_8']",4,body_43_initial_9,0.12903225806451613,7.283614504337311
