file,predictor,prediction_type,execution_time,num_executions,initial_predictions_indexes,refined_predictions_indexes,guide_attempt,guided_predictions_indexes,covered_lines,num_covered_lines,total_lines,coverage_percentage,minimal_predictions_set,minimal_predictions_set_size,max_coverage_prediction,max_coverage_prediction_value,avg_exec_time
./popular_projects_snippets_dataset/black/bodies/body_72.py,GPTValuePredictor,initial,37.97122430801392,10,[],{},0,{},"{5544, 5545, 5546, 5547, 5550, 5551, 5554, 5555, 5556, 5557, 5558, 5560, 5566}",13,24,0.5416666666666666,['body_72_initial_0'],1,body_72_initial_0,0.5416666666666666,3.797122430801392
./popular_projects_snippets_dataset/black/bodies/body_72.py,GPTValuePredictor,refine,298.9866442680359,100,[],"{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}",0,{},"{5544, 5545, 5546, 5547, 5550, 5551, 5554, 5555, 5556, 5557, 5558, 5559, 5560, 5561, 5562, 5564, 5565, 5566, 5567}",19,24,0.7916666666666666,"['body_72_initial_0', 'body_72_refine_0_4', 'body_72_refine_0_9', 'body_72_refine_2_4']",4,body_72_refine_0_9,0.75,2.9898664426803587
./popular_projects_snippets_dataset/black/bodies/body_72.py,GPTValuePredictor,guide,262.8608765602112,100,[],"{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}",10,"{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}","{5544, 5545, 5546, 5547, 5549, 5550, 5551, 5554, 5555, 5556, 5557, 5558, 5559, 5560, 5561, 5562, 5564, 5565, 5566, 5567}",20,24,0.8333333333333334,"['body_72_initial_0', 'body_72_refine_0_4', 'body_72_refine_0_9', 'body_72_refine_2_4', 'body_72_guide_0_2']",5,body_72_refine_0_9,0.75,2.6286087656021118
