file,predictor,prediction_type,execution_time,num_executions,initial_predictions_indexes,refined_predictions_indexes,guide_attempt,guided_predictions_indexes,covered_lines,num_covered_lines,total_lines,coverage_percentage,minimal_predictions_set,minimal_predictions_set_size,max_coverage_prediction,max_coverage_prediction_value,avg_exec_time
./popular_projects_snippets_dataset/black/bodies/body_293.py,GPTValuePredictor,initial,35.52346897125244,10,[],{},0,{},"{7137, 7139, 7140, 7141, 7143, 7144, 7150, 7151, 7135}",9,19,0.4736842105263157,"['body_293_initial_2', 'body_293_initial_4']",2,body_293_initial_4,0.4736842105263157,3.5523468971252443
./popular_projects_snippets_dataset/black/bodies/body_293.py,GPTValuePredictor,refine,284.650190114975,100,[],"{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}",0,{},"{7137, 7139, 7140, 7141, 7143, 7144, 7150, 7151, 7135}",9,19,0.4736842105263157,"['body_293_initial_2', 'body_293_initial_4']",2,body_293_initial_4,0.4736842105263157,2.84650190114975
./popular_projects_snippets_dataset/black/bodies/body_293.py,GPTValuePredictor,guide,213.6294777393341,100,[],"{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}",10,"{0: [4, 6], 1: [2], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}","{7137, 7139, 7140, 7141, 7143, 7144, 7145, 7149, 7150, 7151, 7133, 7134, 7135}",13,19,0.6842105263157895,"['body_293_initial_2', 'body_293_initial_4', 'body_293_guide_0_3', 'body_293_guide_0_4']",4,body_293_guide_0_3,0.5789473684210527,2.136294777393341
