file,predictor,prediction_type,execution_time,num_executions,initial_predictions_indexes,refined_predictions_indexes,guide_attempt,guided_predictions_indexes,covered_lines,num_covered_lines,total_lines,coverage_percentage,minimal_predictions_set,minimal_predictions_set_size,max_coverage_prediction,max_coverage_prediction_value,avg_exec_time
./popular_projects_snippets_dataset/black/bodies/body_265.py,GPTValuePredictor,initial,34.471187591552734,10,[],{},0,{},"{4609, 4610, 4611, 4612, 4613, 4614}",6,17,0.3529411764705882,"['body_265_initial_0', 'body_265_initial_8']",2,body_265_initial_0,0.2352941176470588,3.447118759155273
./popular_projects_snippets_dataset/black/bodies/body_265.py,GPTValuePredictor,refine,231.4113883972168,100,[],"{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}",0,{},"{4609, 4610, 4611, 4612, 4613, 4614, 4617, 4618, 4619, 4620, 4621, 4622, 4625, 4626}",14,17,0.8235294117647058,"['body_265_initial_0', 'body_265_initial_8', 'body_265_refine_0_1']",3,body_265_refine_0_1,0.7058823529411765,2.314113883972168
./popular_projects_snippets_dataset/black/bodies/body_265.py,GPTValuePredictor,guide,287.8139982223511,100,[],"{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}",10,"{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}","{4609, 4610, 4611, 4612, 4613, 4614, 4617, 4618, 4619, 4620, 4621, 4622, 4625, 4626}",14,17,0.8235294117647058,"['body_265_initial_0', 'body_265_initial_8', 'body_265_refine_0_1']",3,body_265_refine_0_1,0.7058823529411765,2.8781399822235105
