file,predictor,prediction_type,execution_time,num_executions,initial_predictions_indexes,refined_predictions_indexes,guide_attempt,guided_predictions_indexes,covered_lines,num_covered_lines,total_lines,coverage_percentage,minimal_predictions_set,minimal_predictions_set_size,max_coverage_prediction,max_coverage_prediction_value,avg_exec_time
./popular_projects_snippets_dataset/pandas/bodies/body_23255.py,GPTValuePredictor,initial,60.19118571281433,10,[],{},0,{},"{10690, 10691, 10692, 10694, 10671, 10672, 10673, 10705, 10706, 10676, 10707, 10680, 10683, 10684}",14,37,0.3783783783783784,['body_23255_initial_0'],1,body_23255_initial_0,0.3783783783783784,6.0191185712814335
./popular_projects_snippets_dataset/pandas/bodies/body_23255.py,GPTValuePredictor,refine,506.42490434646606,100,[],"{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}",0,{},"{10690, 10691, 10692, 10694, 10699, 10701, 10705, 10706, 10707, 10671, 10672, 10673, 10676, 10680, 10683, 10684}",16,37,0.4324324324324324,"['body_23255_initial_0', 'body_23255_refine_1_1']",2,body_23255_initial_0,0.3783783783783784,5.0642490434646605
./popular_projects_snippets_dataset/pandas/bodies/body_23255.py,GPTValuePredictor,guide,518.7385132312775,100,[],"{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}",10,"{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: []}","{10690, 10691, 10692, 10694, 10699, 10701, 10705, 10706, 10707, 10671, 10672, 10673, 10675, 10676, 10680, 10682, 10683, 10684}",18,37,0.4864864864864865,"['body_23255_initial_0', 'body_23255_refine_1_1', 'body_23255_guide_0_2', 'body_23255_guide_2_5']",4,body_23255_initial_0,0.3783783783783784,5.187385132312775
